college_name,city,state,nirf_rank,nirf_score,category,careers,min_cutoff,fees_lpa,avg_package_lpa
"Annasaheb Dange College of Engineering and Technology, Ashta",Ashta,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Anurag Engineering College,Ananthagiri (V&M),Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
Anurag University,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
Arasu Engineering College,Thanjavur,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Aravali College of Engineering & Management,Faridabad,Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
"Aravali Institute of Technical Studies,Udaipur",Udaipur,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
ARJUN COLLEGE OF TECHNOLOGY,COIMBATORE,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
ARJUN COLLEGE OF TECHNOLOGY,Hyderabad,Telangana,,,Engineering,"Technology,Science",60,1.0,5.0
Army Institute of Technology,Pune,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
Arulmurugan College of Engineering,KARUR,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Arunachala College of Engineering for Women,Kanniyakumari,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
"Arya College of Engg. & Information Technology, Jaipur",Jaipur,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
Arya College of Engineering,Jaipur,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
Aryabhatta College Of Engineering And Research Center,Ajmer,Rajasthan,,,Engineering,"Technology,Science",60,1.0,5.0
Asan Memorial College of Engineering and Technology,Chengalpattu,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Asansol Engineering College,Asansol,West Bengal,,,Engineering,"Technology,Science",60,1.0,5.0
Asia Pacific Institute of Information Technology,Panipat,Haryana,,,Engineering,"Technology,Science",60,1.0,5.0
ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Coimbatore,Tamil Nadu,,,Engineering,"Technology,Science",60,1.0,5.0
Assam Don Bosco University,Azara,Assam,,,Engineering,"Technology,Science",60,1.0,5.0
Assam Down Town University,Guwahati,Assam,,,Engineering,"Technology,Science",60,1.0,5.0
Assam Engineering College,Guwahati,Assam,,,Engineering,"Technology,Science",60,1.0,5.0
"Atal Bihari Vajpayee Govt. Institute of Engineering  Technology (Degree wing), Pragatinagar, Shimla",Shimla,Himachal Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,,,Engineering,"Technology,Science",60,1.0,5.0
ATHARVA COLLEGE OF ENGINEERING,Mumbai Suburban,Maharashtra,,,Engineering,"Technology,Science",60,1.0,5.0
